Processo,Modalidade,,,Nro. Modalidade,Abertura,,,,Situação,Objeto,,
34/2016,DISPENSA DE LICITAÇÃO,5,04-02-2016 16:00,,16-02-2016,Encerrado,"Aaquisição de suplemento alimentar para o paciente Marco Antonio Junqueira Rezende, conforme determinação de Ação Civil Pública nº 0018802-55.2015.8.13.0528.",,,,,
33/2016,DISPENSA DE LICITAÇÃO,4,04-02-2016 10:00,,16-02-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Pedro Nunes Costa, conforme determinação de Ação Civil Pública nº 0018851-96.2015.8.13.0528.",,,,,
13/2016,TOMADA DE PREÇOS,1,04-02-2016 08:30,,19-01-2016,Encerrado,"Contratação de empresa especializada para obras/serviços de engenharia para a construção de 1 (uma) Unidade Básica de Saúde (UBS) Tipo 1 na Rua Major Estaquio esquina com a Rua Coronel Emídio Marques no Bairro Cruzeiro do Sul, na cidade de Prata - MG, conforme número da proposta 14179123000115002, celebrado entre o Ministério da Saúde e a Prefeitura Municipal de Prata - MG.",,,,,
18/2016,PREGÃO PRESENCIAL,11,03-02-2016 13:30,,22-01-2016,Encerrado,"Aquisição de materiais de construção e elétrico para atender famílias carentes, conf. Lei nº 2.161 de 21/12/2007 que dispõe sobre o Programa de Atendimento Social Básico do Município de Prata-MG.",,,,,
17/2016,PREGÃO PRESENCIAL,10,03-02-2016 08:30,,22-01-2016,Encerrado,"Contratação de pessoa jurídica para prestação de serviços gráficos para para confecção do livro: ""204 Anos da História de Prata"".",,,,,
30/2016,DISPENSA DE LICITAÇÃO,3,01-02-2016 13:00,,02-02-2016,Encerrado,"Aquisição de materiais de construção em geral para manutenção do Cemitério Municipal, PSF do Bairro Primavera, PSF do Bairro Progresso e Banheiros da Praça XV de Novembro do município de Prata-MG.",,,,,
14/2016,PREGÃO PRESENCIAL,9,01-02-2016 08:30,,19-01-2016,Encerrado,"Contratação de pessoa jurídica para fornecimento de refeições (Marmitex) e lanches, bem como serviços de hospedagem para atender a Secretaria de Educação, para as festividades do ""CARNAPRATA 2016"".",,,,,
12/2016,PREGÃO PRESENCIAL,8,29-01-2016 14:00,,18-01-2016,Encerrado,"Aquisição de três veículos tipo ônibus rodoviário seminovos/usados, para atender as necessidades da Secretaria de Educação, para o Transporte dos Estudantes Universitários do Município do Prata/MG.",,,,,
11/2016,PREGÃO PRESENCIAL,7,29-01-2016 08:30,,18-01-2016,Encerrado,"Aquisição de 300 (trezentas) cestas básicas de produtos alimenticios para atendimento as pessoas carentes do Municipio, conforme Lei nº 2161 de 21/12/2007, que dispõe sobre o Programa de Atendimento Social Básico do Municipio.",,,,,
28/2016,DISPENSA DE LICITAÇÃO,2,27-01-2016 10:00,,28-01-2016,Encerrado,"Contratação de profissional de Educação Física para desenvolvimento e coordenação do Projeto ""VOLEIBOL DO CEL"" no Centro de Esporte e Lazer - CEL, situado à Praça do Trabalhador Rural nº 40, Bairro Centro, Prata - MG.",,,,,
8/2016,PREGÃO PRESENCIAL,6,27-01-2016 08:30,,12-01-2016,Encerrado,"Aquisição de gêneros alimenticios para merenda escolar, a serem entregues de acordo com a necessidade, durante o Exercicio de 2016. Fonte de Recursos FNDE/PNAE.",,,,,
7/2016,PREGÃO PRESENCIAL,5,26-01-2016 08:30,,12-01-2016,Encerrado,Aquisição de alimentação pronta (self service e marmitex) destinada a diversas Secretarias do Município de Prata-MG.,,,,,
25/2016,INEXIGIBILIDADE DE LICITAÇÃO,7,25-01-2016 16:00,,26-01-2016,Encerrado,"Contratação de empresa para realização de shows artísticos com ""PATATI PATATÁ COVER, GALINHA PINTADINHA, PEPPA PIG COVER"", na matinê do dia 08 de fevereiro de 2016, na Praça XV de Novembro - Centro, em comemoração ao ""Carnaval 2016"" de Prata-MG.",,,,,
24/2016,INEXIGIBILIDADE DE LICITAÇÃO,6,25-01-2016 14:00,,26-01-2016,Encerrado,"Contratação de empresa para realização de show artístico com o cantor ""DADÁ FONSECA"" no dia 06/02/2016, na Praça XV de Novembro - Centro, em comemoração ao ""Carnaval 2016"" de Prata-MG.",,,,,
23/2016,INEXIGIBILIDADE DE LICITAÇÃO,5,25-01-2016 12:30,,26-01-2016,Encerrado,"Contratação de empresa para realização de show artístico com a ""Dupla Kléo Dibah e Rafael"" no dia 08/02/2016, na Praça XV de Novembro - Centro, em comemoração ao ""Carnaval 2016"" de Prata-MG.",,,,,
6/2016,PREGÃO PRESENCIAL,4,25-01-2016 08:30,,11-01-2016,Encerrado,"Aquisição de materiais de construção para a Secretaria de Agricultura e Assistência Rural, utilizados na manutenção de pontes e mata-burros das estradas rurais do município.",,,,,
5/2016,PREGÃO PRESENCIAL,3,22-01-2016 08:30,,11-01-2016,Encerrado,"Aquisição de combustíveis e óleos lubrificantes para manutenção da frota de veículos e máquinas da Prefeitura Municipal de Prata, para o exercício de 2016.",,,,,
19/2016,INEXIGIBILIDADE DE LICITAÇÃO,4,21-01-2016 10:00,,22-01-2016,Encerrado,"Contratação de empresa para realização de show artístico com a ""Banda Samba D'Elas"", nas noites dos dias 05 e 09 de fevereiro de 2016, na Praça XV de Novembro - Centro, em comemoração ao ""Carnaval 2016"" de Prata-MG.",,,,,
3/2016,PREGÃO PRESENCIAL,2,21-01-2016 08:30,,08-01-2016,Encerrado,"Contratação de empresa para execução de obras de engenharia para instalações dos aparelhos e equipamentos para Academia ao Ar Livre, na Praça Tia Nilda, Praça dos Arantes, Praça Antônio José Terra e Praça dos Maias, no município de Prata - MG.",,,,,
2/2016,PREGÃO PRESENCIAL,1,19-01-2016 08:30,,07-01-2016,Encerrado,"Aquisição de oxigênio medicinal, oxigênio industrial e gás acetileno, bem como locação de cilindros para oxigênio medicinal, industrial e gás acetileno para atender a Secretaria de Saúde e à Divisão de Oficina e Almoxarifado da Prefeitura Municipal de Prata-MG.",,,,,
10/2016,INEXIGIBILIDADE DE LICITAÇÃO,3,14-01-2016 12:30,,22-01-2016,Encerrado,"Contratação de empresa para realização de show artístico com a ""Banda Cultura Negra"", nas noites dos dias 05, 06, 07, 08 e 09 e nas matinês dos dias 06, 07, 08 e 09 de fevereiro de 2016, na Praça XV de Novembro, Centro, em comemoração ao ""Carnaval 2016"", em Prata-MG.",,,,,
9/2016,INEXIGIBILIDADE DE LICITAÇÃO,2,13-01-2016 10:00,,14-01-2016,Encerrado,"Contratação de empresa para realização de show artístico com a ""Banda Oba Oba Samba House"" no dia 07/02/2016, na Praça XV de Novembro - Centro, em comemoração ao ""Carnaval 2016"" de Prata-MG. ",,,,,
4/2016,DISPENSA DE LICITAÇÃO,1,07-01-2016 12:30,,08-01-2016,Encerrado,"Aquisição de suplemento alimentar para o paciente Matheus Alves de Oliveira, conforme determinação de Ação Civil Pública nº  0003593-17.2013.8.13.0528.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 9 de, 10,,,
1/2016,INEXIGIBILIDADE DE LICITAÇÃO,1,05-01-2016 10:00,,29-01-2016,Encerrado,"Contratação de sociedade de advogados especializada na área do Direito Administrativo Municipal, para prestação de serviços de consultoria e assessoria jurídica em questões de maior complexidade durante o exercício de 2016.",,,,,
Exercício: 2021,,,,República Federativa do Brasil,,,,Página: 10 de, 10,,,
197/2015,TOMADA DE PREÇOS,,,12,04-01-2016 08:30,,,16-12-2015,Encerrado,"Contratação de empresa para execução de obras/serviços de engenharia para construção do Polo da Academia da Saúde, situado à Rua Alexandre Vilela, Bairro Jardim Brasil na cidade de Prata - MG, conforme Portarias nº 2.665 de 06/11/13 e 2684 de 08/11/13, do Ministério da Saúde.",,
202/2015,DISPENSA DE LICITAÇÃO,,,87,30-12-2015 10:00,,,31-12-2015,Encerrado,"Aquisição de combustiveis para manutenção da frota de veículos e máquinas da Prefeitura Municipal de Prata-MG, durante o período de 01/01/2016 à 31/01/2016.",,
196/2015,PREGÃO PRESENCIAL,,,74,30-12-2015 08:30,,,16-12-2015,Encerrado,"Contratação de empresa para montagem de estrutura e equipamentos necessários à realização do evento ""CARNAPRATA 2016"" , no período de 05 de fevereiro a 09 de fevereiro de 2016, com exploração comercial da área destinada ao evento, na cidade de Prata - MG.",,
201/2015,INEXIGIBILIDADE DE LICITAÇÃO,,,14,23-12-2015 13:00,,,24-12-2015,Encerrado,"Aquisição de peças para manutenção corretiva da Motoniveladora CAT 120K, a serviço da Secretaria de Agricultura e Assistência Rural.",,
200/2015,DISPENSA DE LICITAÇÃO,,,86,22-12-2015 16:00,,,23-12-2015,Encerrado,"Aquisição de medicamento excepcional para Miriam Rosária Maia, conforme determinação de Acão Civil Pública n° 0006844-43.2013.8.13.0528.",,
199/2015,DISPENSA DE LICITAÇÃO,,,85,21-12-2015 14:00,,,22-12-2015,Encerrado,"Aquisição de peças novas e serviços de mão de obra para revisão de garantia de 10.000 km do veículo Pas/Automóvel/Fiat/Palio Fire, Placa PUI 0299, Ano 2014, Modelo 2015, à serviço da Atenção Especializada.",,
180/2015,CONCORRENCIA PÚBLICA,,,2,21-12-2015 08:30,,,19-11-2015,Encerrado,"Contratação de empresa para execução de obra de engenharia para construção da Creche do Programa Pró-Infância, Tipo 01, situada à Rua Manoel Nunes, nº 30, Bairro Rodoviário, conforme Termo de Compromisso PAC2 - 4052/2013, celebrado entre o Fundo Nacional de Desenvolvimento da Educação - FNDE e o Município de Prata-MG.",,
198/2015,DISPENSA DE LICITAÇÃO,,,84,16-12-2015 10:00,,,17-12-2015,Encerrado,"Aquisição de suplemento alimentar para a paciente Camille Bianca Eulalio Souza, conforme determinação de Ação Judicial n° 0030869-23.2013.8.13.0528.",,
187/2015,PREGÃO PRESENCIAL,,,73,16-12-2015 08:30,,,04-12-2015,Encerrado,"Contratação de empresa para realização de Evento, na Praça XV de Novembro, Centro, no dia 31/12/2015, destinado a comemoração do ""Reveillon 2015"", início previsto às 23:00 horas e término às 04:00 horas do dia 01/01/2016, na Praça XV de Novembro, Centro, Prata - MG.",,
195/2015,DISPENSA DE LICITAÇÃO,,,83,15-12-2015 15:00,,,16-12-2015,Encerrado,"Aquisição de suplemento alimentar para a paciente Maria Beatriz de Castro Miranda, conforme determinação de Ação Civil Pública n°0008386-96.2013.8.13.0528.",,
176/2015,PREGÃO - REGISTRO DE PREÇO,,,9,15-12-2015 08:30,,,16-11-2015,Encerrado,"Registro de Preços para futura e eventual contratação de empresa para prestação de serviços, com fornecimento de material, para instalação de vidros para atender as necessidades das Secretarias deste Município de Prata-MG.",,
194/2015,DISPENSA DE LICITAÇÃO,,,82,14-12-2015 14:30,,,15-12-2015,Encerrado,"Contratação de empresa especializada para execução de serviços de manutenção corretiva, transporte de equipamento, instalação e substituição de bomba d'água do poço artesiano do Distrito de Três Barras, no município de Prata-MG.",,
193/2015,DISPENSA DE LICITAÇÃO,,,81,14-12-2015 13:00,,,15-12-2015,Encerrado,"Aquisição de medicamento para o paciente Ricardo José da Silva, conforme determinação de Ação Civil Pública nº 0012987-77.2015.8.13.0528.",,
192/2015,DISPENSA DE LICITAÇÃO,,,80,14-12-2015 09:00,,,15-12-2015,Encerrado,"Aquisição de medicamento para a paciente Ormezinda Marcelino Silva Campos, conforme determinação de Ação Civil Pública nº 0019909-37.2015.8.13.0528.",,
184/2015,TOMADA DE PREÇOS,,,11,14-12-2015 08:30,,,27-11-2015,Encerrado,"Contratação de empresa especializada para execução do projeto de obras de infra estrutura urbana, que tem como objetivo recapeamento e pavimentação asfáltica em concreto betuminoso usinado a quente (CBUQ), execução de meio-fio e sarjetas em diversas ruas do município de Prata-MG, conforme Contrato de Repasse OGU 1018.461-25/2014 CAIXA/MG, celebrado entre o município de Prata-MG e o Ministério das Cidades.",,
166/2015,PREGÃO PRESENCIAL,,,68,11-12-2015 08:30,,,23-10-2015,Encerrado,"Aquisição de patrulha mecanizada, nos termos do contrato de repasse nº 2690.1009645-39/2013/MAPA CAIXA, celebrado entre o Ministério da Agricultura, Pecuária e Abastecimento e o Município de Prata-MG.",,
191/2015,DISPENSA DE LICITAÇÃO,,,79,10-12-2015 14:00,,,11-12-2015,Encerrado,"Aquisição de medicamento para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13.5028.",,
190/2015,DISPENSA DE LICITAÇÃO,,,78,10-12-2015 12:30,,,11-12-2015,Encerrado,"Aquisição de suplemento alimentar para o paciente Marco Antonio Junqueira Rezende, conforme determinação de Ação Civil Pública nº 0018802-55.2015.8.13.0528.  ",,
189/2015,DISPENSA DE LICITAÇÃO,77,09-12-2015 13:00,,10-12-2015,Encerrado,"Aquisição de medicamento para a paciente Homerina Ferreira Lima Freitas, conforme determinação Ação Sumária com Pedido Urgente de antecipação de Tutela nº 11323-54.2012.4.01.3803.",,,,,
188/2015,DISPENSA DE LICITAÇÃO,76,09-12-2015 12:30,,10-12-2015,Encerrado,"Auisição de medicamento para a paciente Aurora Barbosa Ferreira, conforme determinação de Ação Civil Pública nº 0019933-65.2015.8.13.0528.",,,,,
181/2015,TOMADA DE PREÇOS,10,09-12-2015 08:30,,21-11-2015,Encerrado,"Contratação de empresa especializada para execução do projeto de obras de infra estrutura urbana, que tem como objetivo pavimentação em concreto betuminoso usinado a quente (CBUQ), execução de meio-fio e sarjetas da Rua A, Bairro Dona Regina e Travessa Mutirão, Bairro Mutirão do Município de Prata-MG, conforme Convênio nº 680/2014, que entre si celebram a MGI - Minas Gerais participações S/A e o Município de Prata-MG.",,,,,
183/2015,PREGÃO PRESENCIAL,72,08-12-2015 08:30,,25-11-2015,Encerrado,"Aquisição de uniformes para serem usados pelas Equipes de Saúde da Família dos PSFs dos Bairros Bela Vista, Cruzeiro do Sul, Colina Park, Oliveira, Jardim Brasil, Primavera e Esperança - Recurso PMAQ - Conta 113-9.",,,,,
186/2015,DISPENSA DE LICITAÇÃO,75,03-12-2015 08:30,,04-12-2015,Encerrado,"Contratação de empresa prestadora de serviço médico para realização de procedimento de aplicação intra-articular (uma ampola em cada joelho) do medicamento Synvisc-one (medicamento incluso) para a paciente Juvenira Maria Ferreira Novais, conforme determinação de Ação Civil Pública nº 0024032-78.2015.8.13.0528.",,,,,
185/2015,DISPENSA DE LICITAÇÃO,74,26-11-2015 13:30,,27-11-2015,Encerrado,"Aquisição de suplemento alimentar para o paciente Yago Alves Silva, conforme determinação de Ação Civil Pública n° 0019925-88.2015.8.13.0528.",,,,,
169/2015,PREGÃO PRESENCIAL,70,25-11-2015 08:30,,27-10-2015,Deserto,"Contratação de empresa especializada para execução de serviços de restauração do Bem Inventariado EAU-27 - Zona 02/2005 da Estátua de Nossa Senhora do Carmo, situado no Morrinho Seio de Moça, na Zona Rural do Município de Prata/MG, com fornecimento de materiais, mão de obra e estrutura necessária.",,,,,
182/2015,DISPENSA DE LICITAÇÃO,73,24-11-2015 13:00,,26-11-2015,Encerrado,"Aquisição de equipos para a paciente Camille Bianca Eulalio Souza, conforme determinação de Ação Judicial n° 0011446-43.2014.8.13.0528.",,,,,
179/2015,DISPENSA DE LICITAÇÃO,72,17-11-2015 09:00,,18-11-2015,Encerrado,"Aquisição de medicamento para o paciente Edgar Costa Santos, conforme determinação de Ação Judicial n° 14029-73.2013.4.01.3803.",,,,,
178/2015,DISPENSA DE LICITAÇÃO,71,13-11-2015 10:00,,16-11-2015,Encerrado,"Aquisição de medicamento para o paciente Ricardo José da Silva, conforme determinação de Ação Civil Pública nº 0012987-77.2015.8.13.0528.",,,,,
177/2015,DISPENSA DE LICITAÇÃO,70,13-11-2015 09:00,,16-11-2015,Encerrado,"Aquisição de medicamento para a paciente Ormezinda Marcelino Silva Campos, conforme determinação de Ação Civil Pública nº 0019909-37.2015.8.13.0528.",,,,,
175/2015,DISPENSA DE LICITAÇÃO,69,12-11-2015 12:30,,13-11-2015,Encerrado,"Aquisição de medicamento para o paciente Dabio Campos Silva Filho, conforme determinação de Ação Civil Pública nº 0023760-84.2015.8.13,5028.",,,,,
174/2015,DISPENSA DE LICITAÇÃO,68,12-11-2015 09:00,,13-11-2015,Encerrado,"Aquisição de suplemento alimentar para o paciente Marco Antonio Junqueira Rezende, conforme determinação de Ação Civil Pública nº 0018802-55.2015.8.13.0528.",,,,,
170/2015,PREGÃO PRESENCIAL,71,12-11-2015 08:30,,29-10-2015,Encerrado,"Aquisição de brinquedos a serem distribuídos no evento ""Natal das Crianças Carentes"", no período de 23/11/2015 a 26/11/2015 nos Distritos do município e finalizando no dia 19/12/2015, às 16:00 horas na Praça XV de Novembro, Bairro Centro, Prata-MG, a ser promovido pela Secretaria de Ação Social, Trabalho e Promoção Humana.",,,,,
168/2015,PREGÃO PRESENCIAL,69,09-11-2015 13:30,,26-10-2015,Encerrado,"Contratação de pessoa jurídica para realização das festividades em comemoração ao 142º aniversário de Prata, no período de 14 de novembro de 2015 na cidade de Prata-MG.",,,,,
148/2015,PREGÃO PRESENCIAL,66,09-11-2015 08:30,,16-09-2015,Encerrado,"Contratação de pessoa jurídica para confecção de próteses dentárias, para atender a população de baixa renda, por meio do Programa do Governo Federal ""Brasil Sorridente"" - Portaria do Ministério da Saúde nº 2.759 de 12/12/2014.",,,,,
